1,0.003,0.000,0.014,-6.652,0.833,12.413,12.417
2,0.008,0.000,0.042,-6.651,0.028,22.073,22.078
3,0.017,0.000,0.083,-6.649,0.042,19.400,19.404
4,0.028,0.000,0.139,-6.647,0.056,19.292,18.988
5,0.042,0.000,0.208,-6.643,0.069,19.600,18.064
6,0.058,0.000,0.292,-6.637,0.083,20.168,16.784
7,0.078,0.000,0.389,-6.629,0.097,19.764,16.380
8,0.100,0.000,0.500,-6.619,0.111,19.464,15.773
9,0.125,0.000,0.625,-6.606,0.125,19.115,15.115
10,0.153,0.000,0.764,-6.591,0.139,17.945,15.177
11,0.183,0.000,0.917,-6.573,0.153,17.031,14.879
12,0.217,0.000,1.083,-6.551,0.167,15.757,14.837
13,0.253,0.000,1.264,-6.526,0.181,14.737,14.433
14,0.292,0.000,1.458,-6.497,0.194,13.817,13.821
15,0.333,0.000,1.667,-6.463,0.208,12.688,13.309
16,0.378,0.000,1.889,-6.426,0.222,11.812,12.432
17,0.425,0.000,2.125,-6.383,0.236,10.724,11.653
18,0.475,0.000,2.375,-6.336,0.250,9.579,10.816
19,0.528,0.000,2.639,-6.283,0.264,8.376,9.921
20,0.583,0.000,2.917,-6.224,0.278,7.268,8.812
21,0.642,0.000,3.208,-6.160,0.292,5.946,7.798
22,0.703,0.000,3.514,-6.090,0.306,4.870,6.415
23,0.767,0.000,3.833,-6.013,0.319,3.888,4.816
24,0.833,0.000,4.167,-5.930,0.333,2.534,3.463
25,0.903,0.000,4.514,-5.840,0.347,1.118,2.046
26,0.975,0.000,4.875,-5.742,0.361,0.099,0.103
27,1.050,0.000,5.250,-5.637,0.375,1.447,1.443
28,1.128,0.000,5.639,-5.524,0.389,2.751,3.362
29,1.208,0.000,6.042,-5.404,0.403,0.191,9.661
30,1.292,0.000,6.458,-5.274,0.417,6.483,6.479
31,1.378,0.000,6.889,-5.137,0.431,8.451,8.139
32,1.467,0.000,7.333,-4.990,0.444,11.258,9.098
33,1.558,0.000,7.792,-4.834,0.458,13.212,11.051
34,1.653,0.000,8.264,-4.669,0.472,12.772,15.540
35,1.750,0.000,8.750,-4.494,0.486,16.562,15.941
36,1.850,0.000,9.250,-4.309,0.500,18.114,18.726
37,1.953,0.000,9.764,-4.114,0.514,19.894,21.429
38,2.058,0.000,10.292,-3.908,0.528,23.442,22.513
39,2.167,0.000,10.833,-3.691,0.542,25.832,24.904
40,2.278,0.000,11.389,-3.463,0.556,27.067,28.603
41,2.392,0.000,11.958,-3.224,0.569,30.996,29.760
42,2.508,0.000,12.542,-2.973,0.583,33.617,32.381
43,2.628,0.013,13.076,-2.712,0.534,35.861,34.008
44,2.750,0.038,13.561,-2.441,0.485,36.170,37.706
45,2.875,0.038,14.186,-2.157,0.625,35.720,46.496
46,3.003,0.038,14.825,-1.860,0.639,28.876,58.440
47,3.133,0.025,15.541,-1.550,0.716,24.949,69.913
48,3.267,0.025,16.207,-1.225,0.667,24.517,75.024
49,3.403,0.063,16.699,-0.891,0.492,25.440,76.256
50,3.542,0.076,17.330,-0.545,0.631,30.197,81.012
51,3.683,0.088,17.976,-0.185,0.645,37.883,78.843
52,3.828,0.101,18.635,0.187,0.659,59.582,63.581
53,3.975,0.126,19.245,0.572,0.610,77.366,50.873
54,4.125,0.164,19.806,0.968,0.561,83.210,50.249
55,4.278,0.202,20.381,1.376,0.575,82.768,57.200
56,4.433,0.239,20.969,1.795,0.589,79.905,66.349
57,4.592,0.265,21.635,2.228,0.666,73.726,80.498
58,4.753,0.302,22.252,2.673,0.617,76.275,83.047
59,4.917,0.353,22.819,3.129,0.567,67.690,97.254
60,5.083,0.391,23.463,3.599,0.644,66.211,107.170
