0,0.002,0.000,0.056,0.000,0.000,4.305,2.891
1,0.006,0.000,0.168,0.001,0.000,7.108,6.455
2,0.012,0.000,0.336,0.002,0.000,11.553,10.808
3,0.020,0.000,0.560,0.004,0.000,17.344,16.308
4,0.030,0.000,0.840,0.007,0.000,24.253,23.248
5,0.042,0.000,1.176,0.011,0.000,32.494,31.478
6,0.056,0.000,1.568,0.017,0.000,42.076,41.049
7,0.072,0.000,2.016,0.024,0.000,52.466,52.559
8,0.090,0.000,2.520,0.033,0.000,62.785,66.951
9,0.110,0.014,2.681,0.043,0.000,51.261,54.839
10,0.132,0.014,3.297,0.054,0.000,95.352,98.407
11,0.156,0.028,3.571,0.067,0.000,75.966,76.879
12,0.182,0.043,3.900,0.081,0.000,96.540,98.369
13,0.210,0.071,3.887,0.095,-0.000,82.231,83.430
14,0.240,0.100,3.930,0.109,0.000,98.066,98.232
15,0.272,0.128,4.029,0.123,0.000,102.814,103.715
16,0.306,0.157,4.184,0.138,0.000,109.042,110.151
17,0.342,0.199,3.996,0.153,-0.000,91.026,92.104
18,0.380,0.242,3.864,0.166,-0.000,103.117,103.641
19,0.420,0.270,4.187,0.181,0.000,129.774,131.235
20,0.462,0.327,3.769,0.195,-0.000,78.851,79.069
21,0.506,0.370,3.805,0.208,0.000,122.868,122.974
22,0.552,0.399,4.296,0.224,0.000,141.612,142.608
23,0.600,0.456,4.046,0.238,-0.000,91.973,96.246
24,0.650,0.512,3.851,0.252,-0.000,113.768,118.427
25,0.702,0.555,4.111,0.267,0.000,139.258,144.690
26,0.756,0.612,4.029,0.281,-0.000,112.074,117.439
27,0.812,0.712,2.807,0.291,-0.000,51.124,52.871
28,0.870,0.769,2.837,0.301,0.000,141.790,141.278
29,0.930,0.826,2.922,0.312,0.000,109.219,114.212
30,0.992,0.940,1.470,0.317,-0.000,9.996,19.650
31,1.056,1.025,0.870,0.320,-0.000,79.618,89.703
32,1.122,1.068,1.523,0.325,0.000,123.305,134.746
33,1.190,1.153,1.035,0.329,-0.000,30.787,38.182
34,1.260,1.295,-0.991,0.326,-0.000,45.119,37.052
35,1.332,1.352,-0.569,0.323,0.000,117.210,118.856
36,1.406,1.409,-0.091,0.323,0.000,57.806,62.700
37,1.482,1.495,-0.355,0.322,-0.000,25.059,16.934
38,1.560,1.623,-1.758,0.316,-0.000,36.601,36.417
39,1.640,1.680,-1.112,0.312,0.000,99.961,96.049
40,1.722,1.779,-1.606,0.306,-0.000,11.952,29.875
41,1.806,1.865,-1.646,0.300,-0.000,28.051,31.873
42,1.892,1.936,-1.231,0.296,0.000,54.081,35.170
43,1.980,2.064,-2.354,0.287,-0.000,51.094,67.258
44,2.070,2.121,-1.428,0.282,0.000,104.145,80.151
45,2.162,2.178,-0.446,0.281,0.000,58.013,53.267
46,2.256,2.306,-1.402,0.276,-0.000,49.618,50.959
47,2.352,2.391,-1.105,0.272,0.000,62.652,67.714
48,2.450,2.434,0.443,0.273,0.000,100.479,130.515
49,2.550,2.534,0.453,0.275,0.000,0.078,26.272
50,2.652,2.648,0.121,0.275,-0.000,32.350,39.092
51,2.756,2.719,1.040,0.279,0.000,114.413,124.202
52,2.862,2.790,2.015,0.286,0.000,102.987,110.620
53,2.970,2.918,1.452,0.291,-0.000,26.800,28.632
54,3.080,3.032,1.343,0.296,-0.000,99.314,81.165
55,3.192,3.103,2.486,0.305,0.000,159.864,152.839
56,3.306,3.217,2.489,0.314,0.000,66.012,78.875
57,3.422,3.359,1.752,0.320,-0.000,57.345,60.661
58,3.540,3.445,2.664,0.330,0.000,173.119,171.220
59,3.660,3.559,2.836,0.340,0.000,92.264,103.430
60,3.782,3.730,1.469,0.345,-0.000,20.732,30.194
61,3.906,3.843,1.752,0.351,0.000,145.360,151.245
62,4.032,3.957,2.091,0.359,0.000,114.298,109.200
63,4.160,4.128,0.892,0.362,-0.000,17.968,21.328
64,4.290,4.270,0.547,0.364,-0.000,92.525,96.308
65,4.422,4.370,1.453,0.369,0.000,146.576,141.129
66,4.556,4.527,0.820,0.372,-0.000,27.032,30.790
67,4.692,4.698,-0.155,0.371,-0.000,33.364,43.601
68,4.830,4.840,-0.276,0.370,-0.000,78.528,87.726
69,4.970,4.968,0.056,0.371,0.000,88.068,82.938
70,5.112,5.110,0.047,0.371,-0.000,60.666,54.520
71,5.256,5.238,0.491,0.373,0.000,90.450,102.787
72,5.402,5.381,0.594,0.375,0.000,65.110,77.405
73,5.550,5.495,1.549,0.380,0.000,134.464,142.548
74,5.700,5.665,0.966,0.384,-0.000,27.126,44.934
75,5.852,5.836,0.439,0.385,-0.000,63.291,81.345
76,6.006,5.936,1.961,0.392,0.000,185.359,198.586
77,6.162,6.093,1.945,0.399,-0.000,60.196,74.280
78,6.320,6.320,-0.009,0.399,-0.000,22.815,1.801
79,6.480,6.448,0.884,0.402,0.000,177.618,194.157
80,6.642,6.591,1.434,0.407,0.000,97.131,106.189
81,6.806,6.804,0.048,0.408,-0.000,9.235,7.921
82,6.972,6.989,-0.486,0.406,-0.000,68.936,93.444
83,7.140,7.132,0.233,0.407,0.000,121.232,131.189
84,7.310,7.317,-0.189,0.406,-0.000,27.309,37.408
85,7.482,7.530,-1.352,0.401,-0.000,5.414,22.883
86,7.656,7.701,-1.263,0.397,0.000,72.908,98.822
87,7.832,7.843,-0.320,0.396,0.000,94.460,118.092
88,8.010,8.043,-0.916,0.392,-0.000,0.277,4.729
89,8.190,8.256,-1.855,0.386,-0.000,1.792,21.952
90,8.372,8.399,-0.745,0.383,0.000,121.116,145.210
91,8.556,8.555,0.023,0.383,0.000,72.589,77.968
92,8.742,8.754,-0.349,0.382,-0.000,21.125,34.610
93,8.930,8.968,-1.064,0.378,-0.000,18.722,42.819
94,9.120,9.110,0.270,0.379,0.000,145.797,168.424
95,9.312,9.295,0.465,0.381,0.000,52.788,53.566
96,9.506,9.523,-0.481,0.379,-0.000,13.542,20.416
97,9.702,9.694,0.224,0.380,0.000,125.609,146.505
98,9.900,9.851,1.384,0.385,0.000,128.179,137.763
99,10.100,10.078,0.607,0.387,-0.000,19.679,21.104
100,10.302,10.335,-0.912,0.384,-0.000,6.565,18.725
101,10.506,10.477,0.815,0.387,0.000,209.417,212.057
102,10.712,10.662,1.401,0.392,0.000,82.209,79.832
103,10.920,10.918,0.051,0.392,-0.000,2.964,1.435
104,11.130,11.146,-0.446,0.390,-0.000,78.942,90.629
105,11.342,11.317,0.707,0.393,0.000,147.758,164.597
106,11.556,11.545,0.321,0.394,-0.000,34.782,34.295
107,11.772,11.815,-1.204,0.389,-0.000,3.808,0.764
108,11.990,11.986,0.117,0.390,0.000,169.966,192.612
109,12.210,12.185,0.697,0.392,0.000,72.731,86.952
110,12.432,12.441,-0.261,0.391,-0.000,13.777,15.661
111,12.656,12.683,-0.765,0.389,-0.000,66.288,70.130
112,12.882,12.854,0.780,0.392,0.000,174.375,178.199
113,13.110,13.082,0.787,0.394,0.000,48.906,53.845
114,13.340,13.352,-0.346,0.393,-0.000,22.763,23.004
115,13.572,13.537,0.968,0.397,0.000,185.150,193.648
116,13.806,13.737,1.940,0.403,0.000,117.919,132.661
117,14.042,14.050,-0.220,0.403,-0.000,42.155,47.638
118,14.280,14.278,0.066,0.403,0.000,156.701,158.224
119,14.520,14.463,1.605,0.409,0.000,165.792,182.472
120,14.762,14.733,0.808,0.412,-0.000,13.887,28.321
121,15.006,15.046,-1.129,0.408,-0.000,0.640,1.654
122,15.252,15.246,0.179,0.408,0.000,199.975,199.244
123,15.500,15.459,1.144,0.412,0.000,111.845,112.472
124,15.750,15.787,-1.023,0.409,-0.000,58.942,58.256
125,16.002,16.043,-1.141,0.405,-0.000,116.570,118.575
126,16.256,16.214,1.188,0.409,0.000,207.623,219.277
127,16.512,16.513,-0.014,0.409,-0.000,37.521,31.520
128,16.770,16.854,-2.356,0.400,-0.000,34.734,28.086
129,17.030,17.039,-0.258,0.399,0.000,231.697,242.603
130,17.292,17.281,0.302,0.400,0.000,51.695,57.787
131,17.556,17.609,-1.473,0.395,-0.000,43.384,35.513
132,17.822,17.879,-1.598,0.389,-0.000,92.713,99.596
